CN6102|陕西铜川市
CN6103|陕西宝鸡市
CN6104|陕西咸阳市
CN6105|陕西渭南市
CN6106|陕西延安市
CN6107|陕西汉中市
CN6109|陕西安康市
CN6110|陕西商洛市
CN6108|陕西榆林市
CN6230|甘肃甘南藏族自治州
CN6229|甘肃临夏回族自治州
CN6228|甘肃庆阳市
CN6227|甘肃平凉市
CN6226|甘肃陇南市
CN6224|甘肃定西市
CN6223|甘肃武威市
CN6222|甘肃张掖市
CN6221|甘肃酒泉市
CN6205|甘肃天水市
CN6204|甘肃白银市
CN6203|甘肃金昌市
CN6202|甘肃嘉峪关市
CN6201|甘肃兰州市
CN6206|甘肃武威市
CN6328|青海海西蒙古族藏族自治州
CN6327|青海玉树藏族自治州
CN6326|青海果洛藏族自治州
CN6325|青海海南藏族自治州
CN6323|青海黄南藏族自治州
CN6322|青海海北藏族自治州
CN6321|青海海东地区
CN6301|青海西宁市
CN6401|宁夏银川市
CN6402|宁夏石嘴山市
CN6403|宁夏吴忠市
CN6404|宁夏固原市
CN6501|新疆乌鲁木齐市
CN6502|新疆克拉玛依市
CN6521|新疆吐鲁番地区
CN6522|新疆哈密地区
CN6523|新疆昌吉回族自治州
CN6527|新疆博尔塔拉蒙古自治州
CN6528|新疆巴音郭楞蒙古自治州
CN6528|新疆库尔勒市
CN6529|新疆阿克苏地区
CN6530|新疆克孜勒苏柯尔克孜自治州
CN6531|新疆喀什地区
CN6532|新疆和田地区
CN6540|新疆伊犁哈萨克自治州
CN6541|新疆伊宁市
CN6542|新疆塔城地区
CN6543|新疆阿勒泰地区
CN6590|新疆省直辖行政单位
CN7100|台湾省
CN8100|香港特别行政区
CN8200|澳门特别行政区
